,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
0,Afghanistan,43.8,54.9,64.9,72.9,61.6,17.5,28.7,59.7,47.5,79.3,61.4,65.1,55.7,19.6,23.9,42.6,60.6,14.8,22.3,58.4,55.3,66.1,62.7,65.6,58.7,46.2,33.0,28.5,25.2,28.2,24.9,35.5,25.2,39.3,28.8,0.2,0.2,4.6,5.6,13.9,16.1,3.5,0.0,4.1,4.7,23.1,23.9,45.1,41.9,66.5,49.8,47.8,37.9,36.5,23.7,49.1,33.5,65.7,45.7,57.4
1,Yemen,3.2,84.6,75.3,73.7,62.3,37.4,37.2,62.2,47.9,82.7,63.9,71.8,61.4,19.6,21.7,73.4,60.3,19.0,27.9,67.8,49.6,81.0,64.3,50.0,57.1,37.9,39.4,43.6,23.5,35.1,12.9,33.9,20.9,49.8,27.5,0.0,0.0,4.4,8.9,31.2,32.4,0.0,0.0,15.0,7.7,35.2,33.4,35.7,16.6,72.4,53.0,52.2,38.0,32.5,21.5,52.4,34.8,69.4,48.0,17.1
2,Iraq,49.1,70.0,73.2,73.8,66.1,33.7,36.7,59.6,48.4,77.9,63.9,70.1,59.6,18.2,22.0,70.4,64.7,18.2,24.8,66.4,53.5,73.4,63.9,75.3,63.1,47.6,37.8,31.5,30.6,33.1,26.8,37.0,27.0,44.6,29.5,16.9,10.1,4.8,7.0,32.0,30.8,4.1,2.6,7.4,6.6,35.0,32.5,54.7,48.8,65.0,57.7,48.4,44.5,38.4,28.3,50.1,35.9,64.8,49.3,63.1
3,Pakistan,40.1,86.4,77.1,68.3,58.0,41.4,37.1,56.2,44.7,79.4,59.3,65.5,57.1,13.9,32.3,74.8,61.8,13.5,28.3,66.9,46.7,81.1,62.9,79.2,63.1,49.7,42.5,36.3,24.1,36.9,21.9,32.8,20.0,45.2,18.1,0.3,0.2,6.7,9.3,31.5,23.9,0.0,0.0,19.0,9.7,30.3,25.4,53.1,40.2,75.0,57.6,50.9,36.7,44.8,28.8,47.9,34.4,65.0,45.4,59.9
4,Syria,43.6,84.3,77.8,72.5,67.4,45.5,43.1,65.5,52.0,84.5,70.2,76.6,69.5,14.5,24.7,74.6,63.8,17.8,28.7,69.6,53.0,83.2,70.7,80.9,67.9,48.0,38.4,44.9,30.5,35.1,29.4,38.3,21.7,51.4,32.7,0.1,0.1,5.0,8.5,38.6,32.5,0.0,0.0,12.8,6.3,35.6,36.6,56.6,48.5,73.8,57.7,52.8,40.1,39.7,27.0,53.0,40.0,71.4,54.9,63.5
5,Democratic Republic of Congo,39.3,83.8,78.0,63.3,54.6,48.1,33.9,49.7,43.1,75.1,54.4,62.7,58.4,16.0,54.9,65.0,52.3,44.0,39.6,52.0,46.2,73.6,55.6,77.5,60.8,53.3,39.3,36.7,23.0,34.3,14.9,31.0,24.7,40.3,15.0,1.5,0.2,10.9,6.9,10.2,21.7,5.2,0.0,26.0,6.6,3.0,26.8,35.8,32.5,79.8,45.6,48.0,33.6,45.0,22.2,41.8,29.6,64.8,37.5,54.5
6,Iran,26.5,83.4,78.2,70.5,64.8,43.6,45.3,57.4,47.4,78.4,61.9,68.5,62.0,16.2,37.4,76.2,65.1,17.7,33.1,69.1,53.5,81.6,67.1,73.7,66.7,45.1,47.9,43.2,30.9,39.8,16.5,36.9,28.1,45.8,26.7,0.0,0.1,7.0,11.0,34.1,29.5,0.0,0.0,19.3,8.7,30.9,25.8,52.4,37.8,75.7,63.4,52.0,42.6,44.8,35.8,49.7,40.2,67.7,53.5,53.7
7,Mali,47.3,84.1,72.6,59.4,49.5,35.4,38.0,48.6,42.4,73.6,54.2,58.7,52.1,21.2,26.8,63.3,49.9,16.9,28.2,48.0,44.9,74.5,55.1,67.6,55.9,47.1,42.1,35.8,23.0,35.8,28.1,21.0,17.0,38.7,28.5,11.0,5.2,4.3,8.7,27.6,23.8,0.0,0.0,10.8,6.9,26.7,27.8,49.1,39.3,71.2,57.1,52.6,35.7,36.9,30.3,48.4,36.2,65.3,50.3,60.8
8,Chad,40.9,63.7,57.8,66.9,54.7,16.2,29.1,59.9,45.2,81.3,68.0,62.1,54.1,8.4,22.2,29.2,33.2,6.9,21.6,33.2,39.4,64.7,65.1,54.9,50.8,26.0,37.8,26.0,18.3,25.9,33.6,19.1,15.4,45.1,28.2,10.4,27.5,1.9,7.2,11.5,17.8,0.0,13.0,4.6,6.1,19.9,37.9,48.0,47.1,54.5,37.2,38.8,16.2,20.0,20.3,45.9,28.9,56.5,39.2,53.1
9,Saudi Arabia,46.3,66.2,61.2,57.4,50.6,28.1,32.9,47.1,39.2,69.4,52.7,61.0,53.4,18.8,26.9,60.8,51.9,15.5,27.2,52.2,41.9,69.8,54.5,69.5,53.0,34.8,34.4,28.1,21.7,25.6,26.1,26.9,20.8,36.2,20.2,0.2,0.2,5.0,7.1,21.8,23.4,0.0,0.0,11.1,5.1,28.7,26.5,47.7,41.4,65.5,45.7,41.2,31.8,34.1,24.8,40.8,31.8,57.0,42.9,52.1
