,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
0,Afghanistan,28.1,1.4,6.4,19.1,22.4,10.8,15.6,34.7,42.0,20.3,23.6,34.4,39.5,0.1,0.1,2.6,10.5,9.2,8.4,16.6,33.4,7.1,18.8,2.8,11.6,2.6,10.6,15.0,19.5,23.6,15.5,31.1,39.2,19.2,26.3,27.0,23.1,2.4,2.2,8.8,7.1,9.6,8.1,8.6,5.5,4.9,7.1,24.9,22.0,7.6,22.7,16.3,19.3,21.3,30.3,27.1,34.7,20.0,20.9,24.1
1,Yemen,26.6,8.4,14.3,19.9,21.3,27.0,27.5,29.6,38.6,20.1,18.9,30.0,37.8,0.3,0.8,13.3,13.8,17.6,23.9,29.2,37.0,15.0,15.3,16.8,20.6,6.7,9.6,20.5,17.5,32.2,10.2,32.4,31.3,21.0,19.5,15.0,9.8,3.7,0.0,26.6,33.3,13.4,0.0,8.9,4.7,14.3,23.9,39.0,28.1,20.8,22.7,24.1,21.3,39.9,22.6,40.4,33.5,25.4,23.6,30.9
2,Iraq,27.9,2.0,5.8,20.9,22.6,11.2,16.9,36.0,39.2,25.1,25.0,34.4,42.1,0.1,0.1,5.4,12.0,6.9,6.2,20.0,35.5,11.0,18.5,5.1,26.3,2.1,7.4,14.1,13.5,19.9,22.5,29.0,33.4,15.3,16.6,26.3,36.0,0.0,2.2,9.1,7.7,9.4,4.6,4.1,9.7,4.0,6.5,21.6,29.2,13.8,20.7,18.3,26.6,38.6,24.4,34.8,36.4,20.0,30.5,25.7
3,Pakistan,32.2,7.9,16.6,21.4,20.2,28.7,23.4,36.7,44.3,26.3,26.7,39.7,44.5,0.2,0.7,15.0,16.2,10.7,24.9,26.9,41.6,17.4,23.2,26.2,35.3,7.7,9.2,26.8,28.4,39.6,7.1,35.9,38.7,26.0,30.9,31.7,32.8,6.2,5.6,24.5,39.7,10.2,0.0,22.1,17.7,16.7,27.1,34.5,36.6,15.5,27.5,28.2,25.2,41.2,39.7,34.1,38.3,31.2,25.8,33.2
4,Syria,31.6,4.8,13.4,22.2,20.0,19.7,30.5,28.7,37.9,22.8,19.6,27.3,40.7,0.2,0.4,12.6,16.2,11.6,18.3,25.8,41.7,13.7,15.7,16.2,22.8,5.5,11.2,21.2,23.1,27.0,14.6,33.5,39.4,22.6,27.0,1.0,2.6,0.0,4.6,17.4,22.2,10.6,4.4,6.9,11.9,7.1,10.1,24.7,13.0,12.4,25.5,24.6,32.0,29.7,25.0,43.0,37.4,28.2,36.4,35.2
5,Democratic Republic of Congo,38.6,16.6,22.7,35.0,35.1,39.6,44.5,42.2,49.6,35.8,38.1,42.2,43.7,1.1,2.1,31.0,31.9,19.1,23.1,43.1,46.0,30.8,36.5,30.3,37.5,14.9,15.4,34.2,32.8,38.0,8.0,47.1,50.9,27.5,29.6,1.6,0.7,6.7,6.7,32.8,30.5,4.5,0.0,24.3,5.0,24.0,20.6,27.1,5.3,16.6,25.3,31.3,34.2,41.1,29.9,39.0,45.9,31.1,33.8,40.9
6,Iran,29.8,8.1,18.0,19.5,20.7,26.1,26.3,29.2,38.2,23.4,26.5,29.2,44.4,0.2,0.7,13.4,14.3,9.3,22.1,23.1,33.8,16.6,23.4,22.8,30.5,10.4,10.4,23.4,25.8,35.5,14.1,32.4,35.3,27.1,27.0,27.6,30.6,3.3,5.2,18.8,29.3,6.8,0.0,8.2,8.2,0.0,7.7,33.0,31.6,17.2,26.4,27.3,32.3,36.5,27.5,40.2,36.1,28.6,36.1,35.2
7,Mali,34.7,14.3,20.0,35.4,28.3,26.1,39.8,40.9,46.1,38.2,35.3,38.3,47.5,0.6,0.9,30.8,27.2,18.5,27.0,40.8,48.8,35.1,35.4,32.5,37.3,10.8,15.6,32.4,34.5,33.2,18.9,37.2,43.7,34.7,40.1,30.1,32.2,3.5,6.5,27.6,31.8,12.9,5.9,7.2,11.1,14.9,22.6,33.5,30.5,21.9,29.3,32.9,38.1,38.5,32.8,50.4,42.1,41.3,42.8,40.2
8,Chad,38.5,9.5,18.2,32.2,39.0,28.2,48.8,34.9,48.7,35.6,29.1,38.1,52.1,1.3,13.7,26.4,22.0,24.4,24.4,34.9,39.0,31.8,34.9,14.3,31.8,9.6,21.8,28.9,30.7,31.9,35.8,35.8,31.3,30.0,35.8,28.2,43.4,0.0,4.7,29.7,35.7,13.7,7.7,5.7,7.2,21.9,40.1,30.6,37.2,20.3,32.5,30.6,38.2,37.9,35.1,51.3,43.1,40.2,45.5,38.7
9,Saudi Arabia,31.4,9.3,20.0,34.7,33.8,31.4,36.3,46.6,49.7,36.5,36.2,47.2,48.5,0.3,0.6,22.5,27.9,16.0,26.7,40.5,47.9,22.4,29.7,27.1,33.8,13.7,11.0,28.7,25.8,42.9,15.7,45.5,45.8,23.2,16.6,34.3,40.3,5.1,4.0,35.5,39.2,16.6,0.0,16.9,4.8,23.9,14.1,36.5,40.6,19.4,18.4,34.2,28.3,40.9,25.8,47.1,38.4,34.8,30.0,43.6
10,Switzerland,29.4,10.7,18.5,25.0,25.8,26.4,33.4,30.5,39.5,28.0,29.1,36.1,45.3,0.6,0.9,24.8,22.0,20.4,19.7,30.0,37.4,26.9,27.4,28.3,29.5,14.8,14.0,24.4,23.6,36.6,16.7,37.1,35.8,20.9,19.4,32.9,33.7,6.5,4.3,36.7,29.9,16.6,8.6,9.5,8.1,14.3,23.3,23.3,30.1,17.5,24.2,32.2,31.3,57.2,26.6,42.1,37.7,35.0,36.9,41.7
11,Ireland,21.1,5.0,11.3,16.7,16.3,17.9,24.4,21.6,30.1,22.1,18.3,24.5,35.5,0.3,0.5,10.6,12.3,16.2,16.6,17.7,30.2,15.8,20.8,18.3,22.4,6.7,10.8,13.7,13.9,28.4,21.3,26.8,25.6,12.6,10.9,24.7,31.0,0.0,6.7,25.4,35.8,10.1,9.9,6.6,7.2,9.3,19.8,29.9,33.7,12.6,15.6,17.4,21.0,38.6,19.8,35.7,29.3,21.9,23.8,21.6
12,Lithuania,26.9,13.4,19.3,31.3,31.7,30.9,29.1,31.6,44.4,33.0,34.5,41.6,42.5,0.4,1.2,26.0,29.5,13.4,18.7,28.6,41.9,29.4,37.4,30.0,37.0,13.7,10.3,27.0,34.0,33.2,11.0,36.8,40.6,27.5,32.8,31.3,26.5,4.4,0.0,31.9,35.9,9.2,0.0,7.1,6.5,16.5,28.0,34.1,26.9,20.2,24.6,35.1,29.7,53.2,22.4,35.1,32.8,35.3,34.0,39.3
