,date,"In DATE, she becomes an adult.",she became a kid in DATE.,"In DATE, she became a kid.",she became a teenager in DATE.,"In DATE, she became a teenager.",she became all grown up in DATE.,"In DATE, she became all grown up.",she became a child in DATE.,"In DATE, she became a child.",she became an adolescent in DATE.,"In DATE, she became an adolescent.",she became an adult in DATE.,"In DATE, she became an adult.",she was a kid in DATE.,"In DATE, she was a kid.",she was a teenager in DATE.,"In DATE, she was a teenager.",she was all grown up in DATE.,"In DATE, she was all grown up.",she was a child in DATE.,"In DATE, she was a child.",she was an adolescent in DATE.,"In DATE, she was an adolescent.",she was an adult in DATE.,"In DATE, she was an adult.",she is a kid in DATE.,"In DATE, she is a kid.",she is a teenager in DATE.,"In DATE, she is a teenager.",she is all grown up in DATE.,"In DATE, she is all grown up.",she is a child in DATE.,"In DATE, she is a child.",she is an adolescent in DATE.,"In DATE, she is an adolescent.",she is an adult in DATE.,"In DATE, she is an adult.",she will be a kid in DATE.,"In DATE, she will be a kid.",she will be a teenager in DATE.,"In DATE, she will be a teenager.",she will be all grown up in DATE.,"In DATE, she will be all grown up.",she will be a child in DATE.,"In DATE, she will be a child.",she will be an adolescent in DATE.,"In DATE, she will be an adolescent.",she will be an adult in DATE.,"In DATE, she will be an adult.",she becomes a kid in DATE.,"In DATE, she becomes a kid.",she becomes a teenager in DATE.,"In DATE, she becomes a teenager.",she becomes all grown up in DATE.,"In DATE, she becomes all grown up.",she becomes a child in DATE.,"In DATE, she becomes a child.",she becomes an adolescent in DATE.,"In DATE, she becomes an adolescent.",she becomes an adult in DATE.
0,1801,49.8,75.6,78.5,74.5,60.6,36.7,36.1,40.1,30.6,79.3,65.7,77.1,61.7,25.3,68.4,65.0,54.9,19.5,37.5,28.8,25.3,75.9,60.4,68.6,55.0,29.6,38.6,28.1,27.8,26.0,20.9,1.6,5.4,51.0,25.9,0.1,5.9,4.8,24.5,46.5,44.6,6.2,17.2,1.9,1.7,35.2,46.1,58.9,54.7,64.6,55.9,52.1,40.7,28.1,27.5,45.2,29.4,74.8,50.1,49.4
1,1807,52.0,74.8,75.3,71.4,64.9,35.2,38.6,41.3,34.1,79.1,71.4,74.3,62.5,24.2,64.3,62.0,57.4,18.9,40.5,39.1,32.5,75.4,64.2,68.1,53.8,25.9,30.1,23.1,27.9,22.2,22.7,3.2,12.1,50.4,28.1,0.0,31.7,3.2,20.4,36.6,44.5,5.4,18.4,2.5,3.3,30.0,48.1,58.4,54.5,63.0,55.1,48.1,44.3,26.8,30.4,45.1,28.3,70.2,52.0,64.8
2,1814,60.2,74.3,77.8,72.9,70.4,36.3,40.7,39.0,34.6,82.2,75.5,77.3,68.6,43.6,74.3,63.7,64.8,19.4,43.1,32.1,34.8,78.3,71.8,74.9,62.6,28.4,37.9,26.9,36.9,25.1,23.4,2.1,10.0,50.7,32.4,0.2,44.4,3.8,22.2,51.1,49.5,4.7,14.1,2.2,2.6,29.9,45.7,57.0,58.3,61.9,58.5,49.0,50.5,26.4,31.7,41.7,29.7,70.9,55.8,61.7
3,1821,53.1,77.6,79.0,73.7,64.8,37.4,38.6,38.1,34.4,81.0,71.3,75.3,62.0,47.9,70.7,69.1,58.6,19.5,42.1,29.0,30.9,79.4,68.5,66.4,55.6,32.4,34.8,25.8,31.1,23.5,22.3,2.2,8.6,54.2,30.8,0.0,13.4,6.1,26.8,49.8,48.3,4.6,19.1,1.9,2.1,41.2,51.0,58.7,55.4,64.2,61.3,55.1,45.8,25.0,31.8,47.0,33.5,77.6,57.7,64.0
4,1828,57.1,78.1,79.4,72.4,64.8,38.6,39.9,39.7,34.9,80.9,70.5,77.5,65.2,36.4,73.8,64.6,58.9,20.4,41.9,35.5,31.6,77.5,66.6,70.1,57.3,32.7,36.5,24.8,29.6,24.9,24.3,3.0,10.1,48.8,28.6,0.1,17.7,4.8,26.3,45.9,48.6,6.3,20.8,1.7,2.0,27.7,48.8,57.7,56.5,65.3,61.1,49.0,45.6,27.1,31.7,47.7,34.3,73.1,55.6,68.3
5,1835,49.5,73.2,71.2,73.1,61.6,39.1,36.5,44.1,36.4,77.7,63.6,77.6,61.8,51.4,62.5,69.9,56.0,20.5,36.6,41.9,34.0,72.6,54.8,72.7,53.8,29.8,27.0,23.1,25.4,22.8,18.5,5.1,10.5,40.0,18.0,0.2,23.4,8.2,23.1,51.0,44.7,5.0,17.8,3.1,2.4,30.7,44.2,57.0,52.6,57.4,50.1,48.1,40.0,24.4,25.8,41.7,30.0,69.5,48.4,62.2
6,1842,54.9,77.4,77.9,75.4,64.2,41.2,39.9,40.1,37.7,80.9,68.2,78.2,64.4,47.0,69.3,70.7,58.3,21.2,38.5,21.4,28.6,76.8,61.4,68.6,58.4,28.3,28.3,22.6,26.8,26.4,23.6,2.8,8.3,49.2,24.1,0.1,13.0,8.6,17.6,50.4,44.0,5.0,15.2,1.5,2.1,25.9,44.5,59.4,56.9,65.9,57.0,54.3,43.5,27.2,28.9,47.6,32.8,75.9,52.6,49.0
7,1849,49.5,73.0,69.7,71.6,59.2,36.8,34.7,45.5,37.3,77.7,64.7,75.6,61.1,44.2,58.9,68.5,53.8,18.2,34.5,41.4,31.8,74.1,55.2,72.4,54.0,25.5,20.7,23.5,24.9,23.2,18.1,5.4,9.9,44.9,18.5,0.2,15.9,9.4,21.5,50.9,45.5,4.5,15.7,5.4,4.1,23.0,45.8,59.4,55.8,58.1,46.5,50.2,37.5,23.8,23.7,43.7,30.7,71.2,45.9,63.3
8,1856,51.2,72.3,70.2,72.4,57.8,39.5,36.5,42.7,36.6,78.1,62.7,74.4,60.2,61.0,62.8,71.6,53.2,24.5,36.6,43.0,33.1,76.1,54.6,74.5,54.6,29.7,23.1,24.7,24.6,24.9,20.2,4.0,9.1,46.4,21.1,0.1,26.9,9.8,19.2,50.4,42.8,7.3,17.1,2.7,2.3,25.2,42.9,62.2,54.2,62.0,50.3,57.2,41.3,27.9,27.0,49.6,32.6,74.4,51.0,59.0
9,1863,43.6,71.9,69.0,70.5,58.3,38.2,36.4,43.9,37.2,77.7,63.4,72.9,59.4,44.7,59.8,67.9,55.5,20.2,36.2,29.2,30.7,72.8,55.9,59.5,53.4,27.6,22.9,25.5,22.5,27.3,19.1,4.3,8.0,52.3,21.8,0.1,3.9,8.7,11.6,44.8,39.4,4.6,13.7,3.4,2.6,20.1,38.4,52.2,54.3,60.3,47.3,56.7,39.2,28.0,25.4,45.2,31.3,73.0,48.0,21.7
