,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
0,Afghanistan,36.9,5.0,15.3,15.9,26.9,7.8,26.5,29.3,41.4,12.5,28.2,30.3,39.4,3.0,7.3,9.4,25.7,13.0,19.8,21.1,34.2,11.4,23.8,24.6,36.1,12.7,20.1,29.5,41.2,28.6,21.8,42.5,50.7,37.0,49.9,0.0,0.5,0.0,0.0,7.3,41.7,0.0,2.7,3.6,6.3,12.1,35.0,30.1,40.0,4.1,11.1,16.2,32.5,13.7,20.0,21.0,32.5,13.6,28.7,28.2
1,Yemen,3.2,6.3,16.5,21.1,31.6,17.6,30.4,32.6,43.7,13.4,30.3,25.1,34.4,5.1,7.2,16.4,31.1,17.4,24.0,26.7,43.2,12.6,27.3,8.8,34.5,16.1,27.8,37.5,43.9,35.3,11.8,38.3,33.2,41.1,50.9,0.0,0.0,0.0,0.0,32.1,52.7,4.7,0.0,17.2,8.8,26.3,39.6,13.0,13.1,7.0,13.8,23.9,36.2,17.2,19.6,29.4,35.1,17.3,30.9,7.0
2,Iraq,32.8,5.0,11.5,15.1,23.3,14.6,30.8,30.5,42.0,14.7,27.9,25.9,36.3,3.0,4.5,11.9,22.4,12.7,16.8,22.8,38.8,14.5,25.5,18.3,32.2,11.3,17.1,22.6,36.6,29.0,21.0,30.1,41.2,31.3,47.4,9.7,16.8,0.0,0.0,13.3,40.4,0.0,0.0,6.2,7.0,16.8,38.4,26.7,36.5,4.1,10.6,14.5,31.2,14.5,21.1,22.7,33.7,15.5,31.2,23.5
3,Pakistan,32.3,5.4,16.5,26.2,36.5,26.8,41.6,37.9,48.7,16.4,35.6,31.1,39.2,2.2,12.7,16.9,32.1,15.0,27.1,27.7,47.4,12.5,30.6,16.4,32.2,23.4,34.1,52.0,63.5,45.0,17.8,56.6,40.4,45.7,39.4,0.3,0.4,0.0,7.3,47.2,67.3,3.8,0.0,36.3,14.5,26.7,40.2,35.5,33.4,8.0,17.5,30.7,46.0,27.3,28.1,35.8,40.8,23.1,38.4,29.1
4,Syria,27.8,7.5,16.2,23.1,29.2,23.2,33.1,29.3,40.4,12.4,26.1,20.6,27.6,3.3,8.3,17.8,30.6,17.5,26.6,25.2,40.6,11.3,24.0,11.8,27.8,20.6,28.5,38.2,45.6,37.8,24.3,35.5,27.0,38.0,46.9,0.0,0.1,0.0,0.0,33.6,56.1,5.5,3.4,16.0,7.5,22.7,40.1,32.3,31.3,7.6,15.6,26.8,40.9,22.3,22.9,27.8,34.8,16.6,28.9,23.7
5,Democratic Republic of Congo,27.9,3.5,10.8,28.3,34.6,26.7,41.3,42.8,47.2,19.5,34.8,33.0,35.4,1.0,7.4,22.5,34.2,31.6,33.1,36.9,46.9,17.5,34.2,14.7,33.2,9.2,23.2,36.6,44.2,42.0,18.8,52.4,51.2,40.1,44.1,0.8,0.3,7.0,0.0,8.9,59.9,5.6,0.0,40.3,8.9,2.7,35.2,36.0,32.8,3.8,8.7,26.2,31.4,16.1,16.9,34.5,30.0,19.9,25.4,28.5
6,Iran,21.9,7.7,16.6,26.1,32.3,24.2,38.5,37.9,46.7,19.0,34.8,28.9,35.3,3.6,11.5,18.4,30.9,15.7,28.9,26.1,41.3,14.6,28.9,10.4,28.8,23.0,34.5,47.4,59.0,43.9,13.9,51.4,54.0,47.2,58.4,0.0,0.1,0.0,0.0,42.1,62.9,4.9,0.0,32.0,10.0,26.8,44.6,31.5,27.6,9.7,18.3,31.3,45.8,26.3,30.2,34.9,40.2,22.7,36.3,25.6
7,Mali,37.8,8.5,21.6,37.7,46.5,24.1,40.4,47.1,50.6,24.2,42.1,39.2,45.2,8.7,16.0,30.6,44.8,19.0,30.6,42.6,48.5,21.8,40.1,20.9,40.3,22.0,37.0,51.2,63.1,38.7,25.4,36.4,34.2,44.2,57.2,8.4,8.9,0.0,6.8,39.0,66.9,3.9,0.0,17.6,9.8,26.1,44.0,34.5,35.2,10.7,23.3,32.0,49.2,25.4,32.8,36.0,46.6,22.8,38.5,30.4
8,Chad,37.5,11.1,22.7,25.2,39.4,13.4,31.4,32.1,46.6,14.3,28.2,34.0,41.8,4.5,15.7,19.2,50.0,18.7,31.7,19.0,42.9,10.9,27.3,20.8,41.7,10.5,24.8,25.5,49.4,28.3,22.5,20.4,27.7,30.9,54.3,4.8,28.3,0.0,0.0,11.6,51.1,6.5,0.0,4.5,5.8,12.9,31.8,27.9,29.6,12.5,17.9,32.8,50.0,25.7,30.5,31.6,43.2,24.4,41.5,34.1
9,Saudi Arabia,36.9,10.3,26.0,34.6,41.0,25.2,41.7,45.7,50.2,24.5,38.9,34.7,41.8,5.8,14.8,26.7,38.2,21.2,32.4,40.7,48.6,20.8,36.4,24.6,41.6,24.0,29.8,44.5,49.3,42.0,28.2,37.9,32.2,49.6,55.5,0.2,0.4,0.0,0.0,43.9,63.3,8.7,4.6,19.2,6.8,32.7,39.1,41.1,32.2,8.4,17.4,31.4,43.2,24.1,25.8,35.5,39.0,26.1,35.7,34.3
