,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because MASK was too incompetent."
0,1901,32.8
1,1904,30.5
2,1908,38.7
3,1912,33.2
4,1916,40.8
5,1920,41.0
6,1924,34.9
7,1928,31.7
8,1932,32.1
9,1936,38.1
10,1940,33.5
11,1944,32.2
12,1948,31.2
13,1952,31.7
14,1956,38.0
15,1960,41.0
16,1964,34.5
17,1968,33.7
18,1972,33.9
19,1976,32.7
20,1980,38.0
21,1984,34.3
22,1988,34.3
23,1992,37.0
24,1996,35.1
25,2000,39.4
26,2004,37.1
27,2008,45.0
28,2012,48.2
29,2016,41.1
