,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,72.6
1,1904,72.9
2,1908,71.2
3,1912,70.4
4,1916,74.2
5,1920,75.1
6,1924,75.3
7,1928,73.9
8,1932,72.6
9,1936,74.1
10,1940,77.2
11,1944,76.9
12,1948,72.9
13,1952,72.4
14,1956,71.8
15,1960,71.8
16,1964,70.1
17,1968,71.3
18,1972,69.3
19,1976,69.4
20,1980,69.3
21,1984,69.0
22,1988,71.0
23,1992,71.4
24,1996,70.1
25,2000,74.0
26,2004,71.2
27,2008,73.1
28,2012,71.3
29,2016,73.6
