,date,In DATE: The painter sold an entire collection of paintings to the woman because MASK made an offer that was hard to refuse.
0,1901,26.0
1,1904,25.7
2,1908,24.6
3,1912,23.3
4,1916,25.7
5,1920,25.9
6,1924,26.1
7,1928,26.6
8,1932,24.9
9,1936,26.4
10,1940,25.5
11,1944,26.1
12,1948,26.7
13,1952,27.0
14,1956,28.2
15,1960,26.9
16,1964,27.7
17,1968,28.1
18,1972,27.2
19,1976,26.7
20,1980,23.2
21,1984,26.9
22,1988,24.5
23,1992,23.6
24,1996,23.3
25,2000,23.8
26,2004,22.4
27,2008,21.4
28,2012,22.6
29,2016,25.9
