,date,In DATE: The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.
0,1901,87.4
1,1904,87.6
2,1908,86.7
3,1912,86.5
4,1916,86.8
5,1920,88.3
6,1924,87.9
7,1928,86.4
8,1932,86.3
9,1936,86.1
10,1940,86.7
11,1944,86.6
12,1948,86.8
13,1952,86.0
14,1956,87.1
15,1960,86.1
16,1964,86.2
17,1968,86.2
18,1972,85.4
19,1976,84.9
20,1980,85.1
21,1984,85.2
22,1988,83.3
23,1992,82.6
24,1996,82.6
25,2000,80.7
26,2004,81.0
27,2008,80.2
28,2012,78.1
29,2016,76.2
