,date,In DATE: The planner spoke with someone who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,10.9
1,1904,11.3
2,1908,11.5
3,1912,13.5
4,1916,14.9
5,1920,11.6
6,1924,12.7
7,1928,13.7
8,1932,14.6
9,1936,15.4
10,1940,16.7
11,1944,17.9
12,1948,16.1
13,1952,16.2
14,1956,16.1
15,1960,15.7
16,1964,16.4
17,1968,17.1
18,1972,16.9
19,1976,18.3
20,1980,18.7
21,1984,18.7
22,1988,22.5
23,1992,21.3
24,1996,21.4
25,2000,20.6
26,2004,22.2
27,2008,23.3
28,2012,23.7
29,2016,24.1
