,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,73.3
1,1904,74.9
2,1908,72.6
3,1912,73.3
4,1916,72.9
5,1920,74.1
6,1924,73.5
7,1928,74.2
8,1932,73.8
9,1936,74.8
10,1940,73.9
11,1944,72.6
12,1948,70.6
13,1952,71.2
14,1956,71.0
15,1960,73.1
16,1964,70.6
17,1968,72.7
18,1972,71.2
19,1976,72.8
20,1980,70.5
21,1984,67.5
22,1988,67.0
23,1992,67.1
24,1996,65.5
25,2000,66.2
26,2004,67.0
27,2008,64.1
28,2012,65.0
29,2016,63.3
