,date,In DATE: The planner spoke with the man who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,99.0
1,1904,99.1
2,1908,99.0
3,1912,99.1
4,1916,99.1
5,1920,99.1
6,1924,99.2
7,1928,99.1
8,1932,99.1
9,1936,99.2
10,1940,99.1
11,1944,99.0
12,1948,99.1
13,1952,99.1
14,1956,99.2
15,1960,99.2
16,1964,99.2
17,1968,99.2
18,1972,99.2
19,1976,99.1
20,1980,98.9
21,1984,99.0
22,1988,98.9
23,1992,99.0
24,1996,99.0
25,2000,99.0
26,2004,99.0
27,2008,99.0
28,2012,99.1
29,2016,99.1
