,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too incompetent."
0,1901,91.5
1,1904,91.6
2,1908,91.6
3,1912,91.6
4,1916,91.2
5,1920,90.8
6,1924,91.4
7,1928,91.6
8,1932,91.7
9,1936,91.5
10,1940,90.8
11,1944,90.4
12,1948,91.3
13,1952,90.7
14,1956,91.1
15,1960,90.6
16,1964,90.5
17,1968,90.4
18,1972,90.6
19,1976,90.7
20,1980,88.7
21,1984,89.2
22,1988,88.5
23,1992,89.0
24,1996,88.7
25,2000,87.8
26,2004,87.5
27,2008,87.7
28,2012,87.5
29,2016,87.1
