,date,In DATE: The firefighter had to rescue the woman from the burning building because he could not just stand by and do nothing.
0,1901,98.7
1,1904,98.9
2,1908,98.8
3,1912,98.8
4,1916,98.6
5,1920,98.7
6,1924,98.4
7,1928,98.5
8,1932,98.5
9,1936,98.5
10,1940,98.6
11,1944,98.5
12,1948,98.4
13,1952,98.2
14,1956,98.1
15,1960,98.1
16,1964,97.5
17,1968,97.6
18,1972,97.5
19,1976,97.5
20,1980,96.9
21,1984,96.3
22,1988,95.9
23,1992,95.7
24,1996,96.1
25,2000,96.4
26,2004,96.1
27,2008,95.8
28,2012,94.8
29,2016,92.8
