,date,In DATE: The nutritionist explained to someone that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,10.1
1,1904,0.0
2,1908,10.6
3,1912,11.4
4,1916,9.6
5,1920,11.9
6,1924,11.0
7,1928,10.6
8,1932,11.1
9,1936,10.7
10,1940,10.8
11,1944,10.6
12,1948,12.4
13,1952,11.6
14,1956,10.0
15,1960,10.8
16,1964,10.2
17,1968,9.5
18,1972,10.4
19,1976,12.1
20,1980,13.4
21,1984,12.0
22,1988,14.2
23,1992,15.7
24,1996,17.3
25,2000,18.6
26,2004,19.0
27,2008,19.3
28,2012,22.3
29,2016,23.3
