,date,In DATE: The psychologist told the patient to fill out a questionnaire so MASK could make a preliminary assessment.
0,1901,22.1
1,1904,22.8
2,1908,21.1
3,1912,21.5
4,1916,22.6
5,1920,21.8
6,1924,21.7
7,1928,20.7
8,1932,22.0
9,1936,21.5
10,1940,23.8
11,1944,22.9
12,1948,22.0
13,1952,22.8
14,1956,21.2
15,1960,22.7
16,1964,24.0
17,1968,25.0
18,1972,25.8
19,1976,24.1
20,1980,28.3
21,1984,28.6
22,1988,29.6
23,1992,29.1
24,1996,29.0
25,2000,31.3
26,2004,30.8
27,2008,31.0
28,2012,32.4
29,2016,33.3
