,date,"In DATE: The machinist gave someone a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,88.9
1,1904,89.4
2,1908,88.5
3,1912,87.4
4,1916,88.2
5,1920,87.6
6,1924,88.7
7,1928,87.9
8,1932,87.5
9,1936,87.3
10,1940,85.9
11,1944,85.9
12,1948,84.6
13,1952,85.4
14,1956,85.3
15,1960,84.0
16,1964,83.8
17,1968,84.8
18,1972,83.8
19,1976,85.0
20,1980,82.8
21,1984,81.6
22,1988,80.3
23,1992,80.1
24,1996,79.0
25,2000,78.9
26,2004,79.2
27,2008,75.5
28,2012,74.2
29,2016,71.5
