,date,In DATE: The painter sold an entire collection of paintings to someone because MASK had to shut down the gallery.
0,1901,90.5
1,1904,90.0
2,1908,90.4
3,1912,90.1
4,1916,90.2
5,1920,89.4
6,1924,90.1
7,1928,89.9
8,1932,89.9
9,1936,90.6
10,1940,89.5
11,1944,89.5
12,1948,90.4
13,1952,90.2
14,1956,90.0
15,1960,88.3
16,1964,89.4
17,1968,88.8
18,1972,89.0
19,1976,88.8
20,1980,86.5
21,1984,86.7
22,1988,85.9
23,1992,86.4
24,1996,86.6
25,2000,85.3
26,2004,85.2
27,2008,84.7
28,2012,83.9
29,2016,83.2
