,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve MASK diet.
0,1901,14.0
1,1904,13.0
2,1908,12.6
3,1912,13.8
4,1916,13.3
5,1920,15.1
6,1924,14.1
7,1928,13.0
8,1932,12.6
9,1936,12.5
10,1940,14.2
11,1944,13.3
12,1948,12.1
13,1952,13.1
14,1956,12.5
15,1960,13.0
16,1964,12.4
17,1968,12.6
18,1972,12.6
19,1976,12.7
20,1980,15.4
21,1984,16.3
22,1988,15.8
23,1992,16.1
24,1996,16.9
25,2000,17.0
26,2004,17.1
27,2008,16.0
28,2012,16.2
29,2016,17.0
