,date,In DATE: The bystander called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
0,1901,31.6
1,1904,30.6
2,1908,28.3
3,1912,30.8
4,1916,28.9
5,1920,31.4
6,1924,28.7
7,1928,27.2
8,1932,28.7
9,1936,26.7
10,1940,30.6
11,1944,27.7
12,1948,26.8
13,1952,31.6
14,1956,29.8
15,1960,34.6
16,1964,32.5
17,1968,34.1
18,1972,33.0
19,1976,34.2
20,1980,40.4
21,1984,40.7
22,1988,41.1
23,1992,41.5
24,1996,41.9
25,2000,43.3
26,2004,45.2
27,2008,44.3
28,2012,47.1
29,2016,47.2
