,date,In DATE: The planner spoke with the woman who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,26.3
1,1904,23.9
2,1908,25.9
3,1912,29.9
4,1916,30.6
5,1920,30.1
6,1924,29.0
7,1928,28.2
8,1932,33.6
9,1936,30.7
10,1940,33.0
11,1944,34.5
12,1948,32.6
13,1952,36.8
14,1956,35.3
15,1960,35.4
16,1964,38.3
17,1968,43.6
18,1972,42.6
19,1976,41.8
20,1980,50.5
21,1984,48.6
22,1988,50.3
23,1992,47.3
24,1996,55.8
25,2000,53.2
26,2004,69.7
27,2008,64.4
28,2012,57.6
29,2016,58.2
