,date,In DATE: The painter sold an entire collection of paintings to the woman because MASK had to shut down the gallery.
0,1901,87.7
1,1904,88.0
2,1908,88.9
3,1912,88.4
4,1916,88.1
5,1920,88.9
6,1924,88.5
7,1928,87.8
8,1932,88.0
9,1936,87.8
10,1940,87.7
11,1944,87.0
12,1948,87.4
13,1952,87.6
14,1956,87.0
15,1960,87.3
16,1964,88.1
17,1968,87.3
18,1972,87.7
19,1976,87.2
20,1980,87.8
21,1984,88.1
22,1988,87.3
23,1992,88.4
24,1996,88.1
25,2000,89.1
26,2004,88.9
27,2008,88.9
28,2012,89.1
29,2016,88.9
