,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,13.9
1,1904,14.3
2,1908,14.1
3,1912,14.0
4,1916,14.1
5,1920,15.0
6,1924,15.6
7,1928,15.1
8,1932,15.0
9,1936,14.9
10,1940,14.9
11,1944,15.2
12,1948,14.0
13,1952,14.7
14,1956,14.5
15,1960,14.5
16,1964,15.1
17,1968,14.7
18,1972,14.7
19,1976,15.5
20,1980,16.5
21,1984,16.5
22,1988,17.3
23,1992,17.7
24,1996,18.2
25,2000,19.6
26,2004,19.0
27,2008,19.7
28,2012,19.8
29,2016,22.0
