,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,32.6
1,1904,31.0
2,1908,33.3
3,1912,34.1
4,1916,33.3
5,1920,32.6
6,1924,35.0
7,1928,33.3
8,1932,34.1
9,1936,34.1
10,1940,34.1
11,1944,34.1
12,1948,36.4
13,1952,36.6
14,1956,36.6
15,1960,39.1
16,1964,37.5
17,1968,38.1
18,1972,39.0
19,1976,39.0
20,1980,41.0
21,1984,42.9
22,1988,42.9
23,1992,44.1
24,1996,45.7
25,2000,47.1
26,2004,45.5
27,2008,50.0
28,2012,51.6
29,2016,51.7
