,date,In DATE: The nutritionist explained to someone that it was his belief that diet and exercise were equally important.
0,1901,92.6
1,1904,93.2
2,1908,93.6
3,1912,92.6
4,1916,92.6
5,1920,92.2
6,1924,92.6
7,1928,92.0
8,1932,92.8
9,1936,93.0
10,1940,92.6
11,1944,92.1
12,1948,91.7
13,1952,91.5
14,1956,92.8
15,1960,91.7
16,1964,91.3
17,1968,90.7
18,1972,89.5
19,1976,88.5
20,1980,88.7
21,1984,89.1
22,1988,88.5
23,1992,88.3
24,1996,87.1
25,2000,86.5
26,2004,86.4
27,2008,85.1
28,2012,82.5
29,2016,81.4
