,date,In DATE: The man called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
0,1901,98.9
1,1904,99.0
2,1908,98.9
3,1912,99.1
4,1916,99.1
5,1920,99.0
6,1924,99.0
7,1928,99.0
8,1932,99.1
9,1936,99.1
10,1940,99.0
11,1944,99.1
12,1948,99.2
13,1952,99.1
14,1956,99.1
15,1960,99.1
16,1964,99.2
17,1968,99.2
18,1972,99.2
19,1976,99.2
20,1980,99.0
21,1984,99.1
22,1988,99.1
23,1992,99.2
24,1996,99.1
25,2000,99.1
26,2004,100.0
27,2008,100.0
28,2012,100.0
29,2016,100.0
