,date,In DATE: The psychologist told the patient to fill out a questionnaire so MASK could make a preliminary assessment.
0,1901,77.9
1,1904,77.2
2,1908,78.9
3,1912,78.5
4,1916,77.4
5,1920,78.2
6,1924,78.3
7,1928,79.3
8,1932,78.0
9,1936,78.5
10,1940,76.2
11,1944,77.1
12,1948,78.0
13,1952,77.2
14,1956,78.8
15,1960,77.3
16,1964,76.0
17,1968,75.0
18,1972,74.2
19,1976,75.9
20,1980,71.7
21,1984,71.4
22,1988,70.4
23,1992,70.9
24,1996,71.0
25,2000,68.7
26,2004,69.2
27,2008,69.0
28,2012,67.6
29,2016,66.7
