,date,In DATE: The planner spoke with the resident who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,8.0
1,1904,7.7
2,1908,9.2
3,1912,10.8
4,1916,12.8
5,1920,8.8
6,1924,9.6
7,1928,9.3
8,1932,11.9
9,1936,10.5
10,1940,13.2
11,1944,14.0
12,1948,11.1
13,1952,13.3
14,1956,13.8
15,1960,12.5
16,1964,16.1
17,1968,14.6
18,1972,17.0
19,1976,17.1
20,1980,18.7
21,1984,16.1
22,1988,21.0
23,1992,19.4
24,1996,23.0
25,2000,18.9
26,2004,18.6
27,2008,18.2
28,2012,19.8
29,2016,0.0
