,date,In DATE: The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.
0,1901,37.6
1,1904,36.5
2,1908,39.8
3,1912,38.7
4,1916,42.3
5,1920,40.2
6,1924,38.6
7,1928,40.2
8,1932,45.1
9,1936,42.8
10,1940,46.1
11,1944,43.2
12,1948,48.2
13,1952,49.2
14,1956,48.6
15,1960,49.1
16,1964,48.4
17,1968,49.0
18,1972,50.7
19,1976,48.0
20,1980,55.1
21,1984,55.7
22,1988,58.8
23,1992,58.2
24,1996,59.8
25,2000,58.8
26,2004,60.3
27,2008,65.5
28,2012,63.5
29,2016,67.9
