,date,In DATE: The nutritionist explained to the man that it was his belief that diet and exercise were equally important.
0,1901,90.9
1,1904,92.0
2,1908,89.6
3,1912,92.4
4,1916,90.7
5,1920,90.1
6,1924,88.6
7,1928,88.6
8,1932,90.6
9,1936,90.1
10,1940,87.1
11,1944,86.7
12,1948,87.3
13,1952,87.3
14,1956,87.4
15,1960,84.4
16,1964,86.5
17,1968,82.9
18,1972,83.4
19,1976,82.6
20,1980,80.6
21,1984,84.7
22,1988,78.4
23,1992,78.2
24,1996,77.3
25,2000,71.6
26,2004,73.6
27,2008,67.5
28,2012,64.8
29,2016,58.0
