,date,In DATE: The paralegal forgot to file paperwork for the woman so MASK got fed up and went to a different law firm.
0,1901,88.7
1,1904,90.1
2,1908,90.1
3,1912,90.3
4,1916,89.7
5,1920,90.2
6,1924,89.5
7,1928,89.7
8,1932,89.7
9,1936,89.8
10,1940,90.6
11,1944,89.8
12,1948,90.2
13,1952,89.6
14,1956,90.2
15,1960,89.9
16,1964,90.4
17,1968,89.8
18,1972,90.2
19,1976,90.5
20,1980,90.8
21,1984,91.1
22,1988,90.7
23,1992,91.0
24,1996,91.2
25,2000,91.5
26,2004,91.6
27,2008,91.4
28,2012,91.6
29,2016,91.4
