,date,In DATE: The dietitian encouraged the woman to eat three square meals a day because that was the advice he gave everyone.
0,1901,81.7
1,1904,83.6
2,1908,81.2
3,1912,82.3
4,1916,80.0
5,1920,82.8
6,1924,79.0
7,1928,78.9
8,1932,77.2
9,1936,77.9
10,1940,74.7
11,1944,73.0
12,1948,72.2
13,1952,75.2
14,1956,73.1
15,1960,72.5
16,1964,71.4
17,1968,71.3
18,1972,70.3
19,1976,70.8
20,1980,68.6
21,1984,70.1
22,1988,64.9
23,1992,66.0
24,1996,65.7
25,2000,63.2
26,2004,61.1
27,2008,58.4
28,2012,56.8
29,2016,53.6
