,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.
0,1901,17.9
1,1904,17.7
2,1908,16.1
3,1912,16.6
4,1916,17.0
5,1920,17.8
6,1924,18.4
7,1928,18.6
8,1932,16.5
9,1936,16.8
10,1940,17.7
11,1944,17.9
12,1948,17.3
13,1952,19.1
14,1956,17.3
15,1960,17.8
16,1964,18.2
17,1968,17.6
18,1972,18.2
19,1976,17.3
20,1980,17.2
21,1984,17.7
22,1988,17.8
23,1992,17.7
24,1996,18.9
25,2000,19.7
26,2004,20.3
27,2008,18.5
28,2012,21.5
29,2016,21.7
