,date,In DATE: The nutritionist explained to the man that it was MASK belief that diet and exercise were equally important.
0,1901,99.0
1,1904,98.9
2,1908,98.9
3,1912,98.8
4,1916,98.8
5,1920,98.7
6,1924,98.9
7,1928,98.9
8,1932,98.8
9,1936,98.9
10,1940,98.6
11,1944,98.7
12,1948,98.9
13,1952,98.6
14,1956,98.6
15,1960,98.4
16,1964,98.4
17,1968,98.4
18,1972,98.3
19,1976,98.4
20,1980,97.9
21,1984,98.1
22,1988,97.9
23,1992,97.5
24,1996,97.5
25,2000,97.6
26,2004,97.4
27,2008,97.3
28,2012,97.2
29,2016,97.2
