,date,In DATE: The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.
0,1901,95.1
1,1904,95.4
2,1908,95.9
3,1912,95.4
4,1916,95.4
5,1920,95.2
6,1924,95.6
7,1928,95.0
8,1932,94.6
9,1936,95.0
10,1940,94.1
11,1944,94.1
12,1948,94.5
13,1952,93.8
14,1956,94.0
15,1960,94.0
16,1964,93.2
17,1968,92.2
18,1972,92.3
19,1976,92.0
20,1980,90.6
21,1984,90.2
22,1988,90.3
23,1992,89.9
24,1996,88.8
25,2000,88.6
26,2004,87.4
27,2008,86.6
28,2012,83.6
29,2016,81.8
