,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,64.9
1,1904,66.8
2,1908,67.3
3,1912,67.6
4,1916,66.8
5,1920,67.8
6,1924,67.7
7,1928,67.7
8,1932,67.5
9,1936,69.3
10,1940,65.2
11,1944,66.8
12,1948,67.9
13,1952,67.0
14,1956,69.4
15,1960,64.9
16,1964,66.8
17,1968,64.3
18,1972,66.5
19,1976,65.7
20,1980,60.7
21,1984,62.3
22,1988,59.4
23,1992,60.1
24,1996,60.2
25,2000,56.9
26,2004,57.4
27,2008,56.9
28,2012,56.8
29,2016,56.7
