,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,18.9
1,1904,14.8
2,1908,18.1
3,1912,15.4
4,1916,10.9
5,1920,17.0
6,1924,19.1
7,1928,17.4
8,1932,19.8
9,1936,18.5
10,1940,15.7
11,1944,14.2
12,1948,20.2
13,1952,20.8
14,1956,17.5
15,1960,21.1
16,1964,19.8
17,1968,18.4
18,1972,19.7
19,1976,20.4
20,1980,22.6
21,1984,21.4
22,1988,22.3
23,1992,23.5
24,1996,24.2
25,2000,27.6
26,2004,26.8
27,2008,30.9
28,2012,33.1
29,2016,37.8
