,date,In DATE: The planner spoke with the woman who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,75.0
1,1904,69.9
2,1908,65.5
3,1912,68.5
4,1916,67.7
5,1920,70.3
6,1924,71.7
7,1928,68.5
8,1932,67.9
9,1936,70.4
10,1940,72.2
11,1944,67.8
12,1948,68.7
13,1952,66.3
14,1956,65.8
15,1960,68.4
16,1964,70.3
17,1968,71.6
18,1972,69.4
19,1976,68.8
20,1980,73.8
21,1984,74.4
22,1988,74.8
23,1992,76.1
24,1996,77.3
25,2000,77.2
26,2004,78.3
27,2008,80.6
28,2012,85.2
29,2016,88.7
