,date,In DATE: The nutritionist explained to the woman that it was his belief that diet and exercise were equally important.
0,1901,47.9
1,1904,48.8
2,1908,49.6
3,1912,44.7
4,1916,45.7
5,1920,46.4
6,1924,48.7
7,1928,49.8
8,1932,50.1
9,1936,51.4
10,1940,50.1
11,1944,48.5
12,1948,47.4
13,1952,49.8
14,1956,54.5
15,1960,54.5
16,1964,51.6
17,1968,54.2
18,1972,54.1
19,1976,52.8
20,1980,53.5
21,1984,54.0
22,1988,54.7
23,1992,54.2
24,1996,52.4
25,2000,51.4
26,2004,49.6
27,2008,51.1
28,2012,46.2
29,2016,49.8
