,date,In DATE: The firefighter had to rescue the child from the burning building because he could not just stand by and do nothing.
0,1901,98.3
1,1904,98.3
2,1908,98.5
3,1912,98.4
4,1916,98.4
5,1920,98.4
6,1924,98.5
7,1928,98.5
8,1932,98.5
9,1936,98.6
10,1940,98.6
11,1944,98.5
12,1948,98.6
13,1952,98.6
14,1956,98.7
15,1960,98.6
16,1964,98.5
17,1968,98.5
18,1972,98.4
19,1976,98.4
20,1980,98.3
21,1984,98.4
22,1988,98.5
23,1992,98.5
24,1996,98.3
25,2000,98.3
26,2004,98.2
27,2008,98.2
28,2012,97.9
29,2016,97.8
