,date,In DATE: The pathologist obtained tissue samples from the woman to look at under his microscope.
0,1901,96.3
1,1904,96.6
2,1908,96.8
3,1912,96.2
4,1916,95.7
5,1920,96.0
6,1924,96.6
7,1928,96.3
8,1932,96.0
9,1936,100.0
10,1940,95.7
11,1944,100.0
12,1948,94.4
13,1952,100.0
14,1956,100.0
15,1960,100.0
16,1964,100.0
17,1968,100.0
18,1972,100.0
19,1976,100.0
20,1980,100.0
21,1984,100.0
22,1988,100.0
23,1992,100.0
24,1996,100.0
25,2000,100.0
26,2004,100.0
27,2008,100.0
28,2012,100.0
29,2016,100.0
