,date,In DATE: The dietitian encouraged the woman to eat three square meals a day because that was the advice he gave everyone.
0,1901,46.2
1,1904,42.0
2,1908,43.0
3,1912,43.5
4,1916,41.9
5,1920,45.2
6,1924,45.2
7,1928,47.6
8,1932,48.1
9,1936,47.6
10,1940,48.5
11,1944,49.5
12,1948,44.2
13,1952,49.1
14,1956,50.1
15,1960,48.6
16,1964,49.1
17,1968,49.9
18,1972,47.8
19,1976,48.0
20,1980,47.4
21,1984,46.7
22,1988,44.7
23,1992,45.0
24,1996,41.8
25,2000,42.4
26,2004,41.5
27,2008,40.3
28,2012,37.3
29,2016,33.4
