,date,In DATE: The nutritionist explained to the woman that it was MASK belief that diet and exercise were equally important.
0,1901,63.2
1,1904,63.1
2,1908,63.1
3,1912,64.0
4,1916,63.2
5,1920,61.5
6,1924,63.1
7,1928,61.5
8,1932,64.6
9,1936,66.4
10,1940,60.4
11,1944,60.6
12,1948,61.6
13,1952,61.5
14,1956,61.0
15,1960,59.6
16,1964,58.4
17,1968,56.8
18,1972,60.0
19,1976,60.4
20,1980,53.1
21,1984,53.5
22,1988,53.6
23,1992,56.0
24,1996,54.4
25,2000,49.3
26,2004,51.1
27,2008,51.7
28,2012,51.0
29,2016,50.0
