,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent."
0,1901,10.6
1,1904,9.8
2,1908,10.5
3,1912,8.9
4,1916,8.8
5,1920,10.8
6,1924,11.4
7,1928,10.6
8,1932,10.9
9,1936,11.5
10,1940,11.0
11,1944,11.4
12,1948,12.5
13,1952,12.2
14,1956,11.0
15,1960,12.3
16,1964,12.4
17,1968,12.6
18,1972,12.7
19,1976,12.4
20,1980,13.7
21,1984,13.5
22,1988,14.8
23,1992,16.2
24,1996,17.1
25,2000,19.0
26,2004,19.0
27,2008,21.9
28,2012,23.1
29,2016,26.5
