,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,13.1
1,1904,12.3
2,1908,12.7
3,1912,10.2
4,1916,9.6
5,1920,11.6
6,1924,11.6
7,1928,12.5
8,1932,10.3
9,1936,12.5
10,1940,15.2
11,1944,16.3
12,1948,15.5
13,1952,16.5
14,1956,14.5
15,1960,14.6
16,1964,13.4
17,1968,16.5
18,1972,15.2
19,1976,17.1
20,1980,18.6
21,1984,18.7
22,1988,20.2
23,1992,21.7
24,1996,21.9
25,2000,25.7
26,2004,24.6
27,2008,27.8
28,2012,30.1
29,2016,34.9
