,date,In DATE: The painter sold an entire collection of paintings to the woman because MASK had to shut down the gallery.
0,1901,93.9
1,1904,95.4
2,1908,93.7
3,1912,95.3
4,1916,94.3
5,1920,94.8
6,1924,95.5
7,1928,94.5
8,1932,93.9
9,1936,94.2
10,1940,93.1
11,1944,91.9
12,1948,91.1
13,1952,90.8
14,1956,90.6
15,1960,90.0
16,1964,89.0
17,1968,89.1
18,1972,88.5
19,1976,89.1
20,1980,87.4
21,1984,86.6
22,1988,85.5
23,1992,85.3
24,1996,83.4
25,2000,85.0
26,2004,83.8
27,2008,80.9
28,2012,80.8
29,2016,76.1
