,date,In DATE: The painter sold an entire collection of paintings to the woman because MASK made an offer that was hard to refuse.
0,1901,68.0
1,1904,69.0
2,1908,69.6
3,1912,69.9
4,1916,68.9
5,1920,70.1
6,1924,70.5
7,1928,70.2
8,1932,71.2
9,1936,70.2
10,1940,70.7
11,1944,71.2
12,1948,69.5
13,1952,70.4
14,1956,68.9
15,1960,69.0
16,1964,69.1
17,1968,69.5
18,1972,69.7
19,1976,69.2
20,1980,70.2
21,1984,70.0
22,1988,70.6
23,1992,69.2
24,1996,70.1
25,2000,68.2
26,2004,68.3
27,2008,69.2
28,2012,69.5
29,2016,68.3
