,date,In DATE: The painter sold an entire collection of paintings to the customer because MASK had to shut down the gallery.
0,1901,11.1
1,1904,11.1
2,1908,10.3
3,1912,11.3
4,1916,11.4
5,1920,11.0
6,1924,10.8
7,1928,11.0
8,1932,11.1
9,1936,10.0
10,1940,11.4
11,1944,11.8
12,1948,10.7
13,1952,12.0
14,1956,10.9
15,1960,11.6
16,1964,11.7
17,1968,12.2
18,1972,12.3
19,1976,12.2
20,1980,13.3
21,1984,14.7
22,1988,15.3
23,1992,14.3
24,1996,14.8
25,2000,14.8
26,2004,15.1
27,2008,14.6
28,2012,15.9
29,2016,16.8
