,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,74.5
1,1904,74.9
2,1908,77.7
3,1912,75.7
4,1916,74.2
5,1920,74.6
6,1924,77.2
7,1928,76.1
8,1932,75.9
9,1936,77.6
10,1940,74.4
11,1944,75.2
12,1948,76.2
13,1952,75.7
14,1956,75.4
15,1960,73.6
16,1964,75.3
17,1968,74.2
18,1972,76.1
19,1976,75.3
20,1980,71.9
21,1984,72.2
22,1988,71.1
23,1992,72.1
24,1996,71.5
25,2000,70.6
26,2004,70.9
27,2008,70.9
28,2012,70.7
29,2016,69.5
