,date,In DATE: The planner spoke with the woman who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,26.3
1,1904,28.9
2,1908,26.8
3,1912,26.1
4,1916,27.5
5,1920,24.9
6,1924,24.1
7,1928,24.6
8,1932,27.4
9,1936,24.0
10,1940,25.2
11,1944,24.0
12,1948,21.3
13,1952,22.4
14,1956,24.9
15,1960,23.8
16,1964,24.9
17,1968,24.8
18,1972,25.7
19,1976,26.5
20,1980,27.9
21,1984,27.8
22,1988,28.2
23,1992,30.2
24,1996,33.2
25,2000,41.3
26,2004,41.6
27,2008,48.8
28,2012,50.6
29,2016,54.3
