,date,"In DATE: The machinist gave the woman a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,98.0
1,1904,97.7
2,1908,97.7
3,1912,97.8
4,1916,97.3
5,1920,97.8
6,1924,97.7
7,1928,97.6
8,1932,97.6
9,1936,97.9
10,1940,97.7
11,1944,97.6
12,1948,97.8
13,1952,97.9
14,1956,97.7
15,1960,97.9
16,1964,97.9
17,1968,98.1
18,1972,98.1
19,1976,98.2
20,1980,98.5
21,1984,98.6
22,1988,98.4
23,1992,98.5
24,1996,98.6
25,2000,98.6
26,2004,98.6
27,2008,98.7
28,2012,98.8
29,2016,98.8
