,date,In DATE: The planner spoke with the woman who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,73.6
1,1904,76.1
2,1908,74.2
3,1912,70.0
4,1916,69.3
5,1920,69.9
6,1924,70.9
7,1928,71.9
8,1932,66.4
9,1936,69.3
10,1940,67.0
11,1944,65.5
12,1948,67.5
13,1952,63.0
14,1956,64.8
15,1960,64.6
16,1964,61.8
17,1968,56.5
18,1972,57.5
19,1976,58.3
20,1980,49.3
21,1984,51.5
22,1988,50.0
23,1992,52.9
24,1996,44.4
25,2000,47.0
26,2004,30.3
27,2008,35.6
28,2012,42.4
29,2016,41.6
