,date,In DATE: The dietitian encouraged someone to eat three square meals a day because he was not getting enough to eat.
0,1901,21.1
1,1904,19.5
2,1908,23.0
3,1912,18.2
4,1916,17.5
5,1920,18.8
6,1924,23.8
7,1928,24.8
8,1932,25.9
9,1936,25.4
10,1940,26.6
11,1944,25.9
12,1948,28.8
13,1952,28.6
14,1956,30.2
15,1960,29.3
16,1964,29.7
17,1968,31.3
18,1972,32.2
19,1976,33.0
20,1980,34.9
21,1984,33.5
22,1988,39.5
23,1992,41.1
24,1996,41.9
25,2000,46.6
26,2004,46.4
27,2008,51.6
28,2012,57.0
29,2016,63.5
