,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for MASK to try it out."
0,1901,25.5
1,1904,25.1
2,1908,22.3
3,1912,24.3
4,1916,25.8
5,1920,25.4
6,1924,22.8
7,1928,23.9
8,1932,24.1
9,1936,22.4
10,1940,25.6
11,1944,24.8
12,1948,23.8
13,1952,24.3
14,1956,24.6
15,1960,26.4
16,1964,24.7
17,1968,25.8
18,1972,23.9
19,1976,24.7
20,1980,28.1
21,1984,27.8
22,1988,28.9
23,1992,27.9
24,1996,28.5
25,2000,29.4
26,2004,29.1
27,2008,29.1
28,2012,29.3
29,2016,30.5
