,date,In DATE: The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.
0,1901,91.7
1,1904,92.0
2,1908,92.7
3,1912,92.8
4,1916,92.7
5,1920,92.5
6,1924,92.7
7,1928,92.0
8,1932,92.7
9,1936,93.1
10,1940,92.8
11,1944,93.3
12,1948,92.5
13,1952,92.6
14,1956,92.6
15,1960,92.1
16,1964,91.6
17,1968,91.7
18,1972,91.8
19,1976,90.2
20,1980,90.7
21,1984,90.8
22,1988,90.4
23,1992,90.8
24,1996,89.3
25,2000,89.7
26,2004,89.5
27,2008,89.5
28,2012,88.7
29,2016,88.2
