,date,In DATE: The nutritionist explained to someone that it was his belief that diet and exercise were equally important.
0,1901,93.2
1,1904,93.2
2,1908,93.2
3,1912,92.7
4,1916,93.3
5,1920,92.6
6,1924,92.9
7,1928,93.4
8,1932,93.4
9,1936,93.3
10,1940,93.3
11,1944,93.3
12,1948,92.4
13,1952,93.5
14,1956,93.9
15,1960,93.8
16,1964,94.3
17,1968,94.4
18,1972,94.3
19,1976,93.7
20,1980,93.5
21,1984,94.3
22,1988,93.1
23,1992,92.5
24,1996,92.2
25,2000,91.9
26,2004,91.4
27,2008,91.3
28,2012,90.7
29,2016,90.2
