,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent."
0,1901,89.3
1,1904,91.2
2,1908,88.9
3,1912,86.8
4,1916,86.5
5,1920,87.9
6,1924,86.3
7,1928,85.0
8,1932,84.0
9,1936,83.7
10,1940,83.0
11,1944,82.2
12,1948,78.8
13,1952,78.7
14,1956,77.7
15,1960,76.0
16,1964,76.8
17,1968,75.6
18,1972,74.0
19,1976,73.7
20,1980,69.7
21,1984,67.4
22,1988,66.6
23,1992,66.3
24,1996,64.4
25,2000,64.4
26,2004,62.6
27,2008,59.6
28,2012,57.5
29,2016,55.1
