,date,"In DATE: The machinist gave the woman a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,9.6
1,1904,10.0
2,1908,10.1
3,1912,9.9
4,1916,10.8
5,1920,11.3
6,1924,10.0
7,1928,10.1
8,1932,10.4
9,1936,10.3
10,1940,12.0
11,1944,13.3
12,1948,10.9
13,1952,11.9
14,1956,13.3
15,1960,13.5
16,1964,15.9
17,1968,16.4
18,1972,13.3
19,1976,14.3
20,1980,15.6
21,1984,14.8
22,1988,13.9
23,1992,14.3
24,1996,12.1
25,2000,11.5
26,2004,11.3
27,2008,10.4
28,2012,10.0
29,2016,9.9
