,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,8.8
1,1904,8.3
2,1908,7.2
3,1912,8.3
4,1916,8.0
5,1920,10.3
6,1924,10.4
7,1928,10.8
8,1932,11.4
9,1936,10.4
10,1940,9.8
11,1944,10.1
12,1948,10.5
13,1952,11.8
14,1956,10.7
15,1960,11.2
16,1964,11.7
17,1968,11.8
18,1972,13.3
19,1976,13.6
20,1980,14.2
21,1984,14.6
22,1988,14.9
23,1992,15.7
24,1996,16.7
25,2000,17.1
26,2004,18.8
27,2008,18.9
28,2012,22.2
29,2016,23.5
