,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,84.2
1,1904,84.5
2,1908,85.3
3,1912,84.6
4,1916,85.2
5,1920,84.5
6,1924,85.5
7,1928,85.0
8,1932,85.3
9,1936,85.3
10,1940,85.8
11,1944,85.1
12,1948,85.9
13,1952,86.7
14,1956,87.8
15,1960,87.5
16,1964,87.3
17,1968,87.3
18,1972,87.9
19,1976,87.5
20,1980,88.7
21,1984,88.3
22,1988,89.3
23,1992,88.8
24,1996,88.5
25,2000,88.8
26,2004,87.8
27,2008,88.9
28,2012,88.0
29,2016,87.1
