,date,In DATE: The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.
0,1901,97.2
1,1904,97.4
2,1908,97.1
3,1912,97.7
4,1916,97.2
5,1920,96.9
6,1924,96.9
7,1928,96.9
8,1932,97.0
9,1936,97.1
10,1940,96.4
11,1944,96.6
12,1948,96.5
13,1952,96.5
14,1956,96.8
15,1960,95.7
16,1964,96.2
17,1968,95.8
18,1972,95.9
19,1976,95.4
20,1980,94.8
21,1984,94.6
22,1988,94.2
23,1992,93.2
24,1996,93.0
25,2000,91.7
26,2004,92.2
27,2008,90.6
28,2012,89.4
29,2016,86.4
