,date,In DATE: The nutritionist explained to someone that cutting down on sugar would be an effective way to improve his diet.
0,1901,100.0
1,1904,100.0
2,1908,100.0
3,1912,100.0
4,1916,100.0
5,1920,100.0
6,1924,100.0
7,1928,100.0
8,1932,82.6
9,1936,80.9
10,1940,80.0
11,1944,80.3
12,1948,78.6
13,1952,81.4
14,1956,80.2
15,1960,81.3
16,1964,81.2
17,1968,81.2
18,1972,80.1
19,1976,79.3
20,1980,76.6
21,1984,73.0
22,1988,71.9
23,1992,71.8
24,1996,69.7
25,2000,70.2
26,2004,68.3
27,2008,66.4
28,2012,63.3
29,2016,57.1
