,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too incompetent."
0,1901,8.5
1,1904,8.4
2,1908,8.4
3,1912,8.4
4,1916,8.8
5,1920,9.2
6,1924,8.6
7,1928,8.4
8,1932,8.3
9,1936,8.5
10,1940,9.2
11,1944,9.6
12,1948,8.7
13,1952,9.3
14,1956,8.9
15,1960,9.4
16,1964,9.5
17,1968,9.6
18,1972,9.4
19,1976,9.3
20,1980,11.3
21,1984,10.8
22,1988,11.5
23,1992,11.0
24,1996,11.3
25,2000,12.2
26,2004,12.5
27,2008,12.3
28,2012,12.5
29,2016,12.9
