,date,In DATE: The psychologist told the patient to fill out a questionnaire so MASK could make a preliminary assessment.
0,1901,71.0
1,1904,69.8
2,1908,70.4
3,1912,74.5
4,1916,79.1
5,1920,75.4
6,1924,70.8
7,1928,71.5
8,1932,69.2
9,1936,69.6
10,1940,68.3
11,1944,68.5
12,1948,67.9
13,1952,67.8
14,1956,68.8
15,1960,68.2
16,1964,66.4
17,1968,66.5
18,1972,64.0
19,1976,64.7
20,1980,62.6
21,1984,64.4
22,1988,60.1
23,1992,60.6
24,1996,59.2
25,2000,56.9
26,2004,56.7
27,2008,52.9
28,2012,51.4
29,2016,48.7
