,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too incompetent."
0,1901,90.9
1,1904,90.5
2,1908,90.4
3,1912,90.3
4,1916,90.6
5,1920,90.2
6,1924,90.1
7,1928,89.8
8,1932,90.1
9,1936,90.1
10,1940,89.9
11,1944,90.1
12,1948,90.2
13,1952,90.3
14,1956,90.0
15,1960,90.0
16,1964,90.2
17,1968,90.2
18,1972,90.0
19,1976,89.4
20,1980,89.0
21,1984,88.8
22,1988,87.7
23,1992,87.5
24,1996,86.6
25,2000,85.9
26,2004,86.3
27,2008,84.9
28,2012,84.5
29,2016,82.8
